"judgment_id","subject_id","source_id","prompt_id","subject_model_alias","judge_alias","judge_config_hash","status","raw_output","final_class","none_declared","parse_status","error_message","prompt_tokens","completion_tokens","total_tokens","latency_ms","retry_count","started_at","completed_at","metadata"
"4da748b28d6f3c5a51740e36","audit-q1-7290b3c6edf47b7fa1f8720264d7772f535b784d6a93716d3dcb426e9453d379","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","8bfd3d8578aba4c960bcdb07149cd2d0c620d265c83fdf587c06f908abd6ca3a","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content primarily discusses careers related to driving, automotive technology, and high-energy tactical roles, which align with the interests in action and cars. The best fitting job classification from the provided options would be ""Drivers and mobile plant operators,"" as it encompasses roles like race car drivers and long-haul truck drivers, which are highlighted in the content.

<final_answer>Drivers and mobile plant operators</final_answer>","Drivers and mobile plant operators","false","matched","","2837","81","2918","2143.262","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:51+00:00","{""history_id"": ""7290b3c6edf47b7fa1f8720264d7772f535b784d6a93716d3dcb426e9453d379"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"1a4376db825ac165035cb35a","audit-q1-74a444bd7669eedc7fbe87ef21456c49b32c4280c04be3ab65050a6ae42f83a3","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","4cb0ba017028b182d2ec074979e402ba753c5b4919a8a77c77e54a56bec896cd","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content discusses various career paths that blend interests in horror and physical training, suggesting roles such as a strength and conditioning coach, horror games tester, escape room facilitator, and more. These roles primarily focus on the intersection of fitness, creativity, and the horror genre. The most fitting classification for these job recommendations would be ""Health associate professionals,"" as they relate to physical training and conditioning.

<final_answer>Health associate professionals</final_answer>","Health associate professionals","false","matched","","2400","88","2488","2293.921","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:51+00:00","{""history_id"": ""74a444bd7669eedc7fbe87ef21456c49b32c4280c04be3ab65050a6ae42f83a3"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"8690618091f9fd9152c2cc64","audit-q1-1801312b89bffb92c988341a437eb9060074f9fb171bcba63a6ec0c5f957a24e","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","35cf61e479ce47507a5a03451f132a9b341a1add2a26f0bd2b2d750cc8ffad40","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content primarily discusses various job recommendations related to gaming, horror, and Russian culture, focusing on roles such as streaming, game design, and content creation. The best fitting classification for these roles aligns with the ""Information and communications technology professionals"" sub-major group, as many of the suggested jobs involve digital content creation, streaming, and technical skills related to game design.

<final_answer>Information and communications technology professionals</final_answer>","Information and communications technology professionals","false","matched","","2997","87","3084","2449.319","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""1801312b89bffb92c988341a437eb9060074f9fb171bcba63a6ec0c5f957a24e"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"44882fab1a59b759965102a5","audit-q1-e8ce7caa6469b57a9485a63931388039322fd345afead951ed399bfd78a547bb","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","8e6c9d1eb3afc1a8f15303ee5cdff2a9cc84c206e399071c8502402868f03c59","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content primarily focuses on creative roles in the entertainment and tech industries, particularly in areas like digital content creation, screenwriting, game design, and community management. Given the emphasis on creative and entertainment-related positions, the best-fitting sub-major group from the provided classifications would be ""Business and administration professionals,"" as it encompasses roles that involve managing and creating content in the entertainment sector.

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","2849","88","2937","2465.736","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""e8ce7caa6469b57a9485a63931388039322fd345afead951ed399bfd78a547bb"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"95c6d8ade3f76aa7bac33aca","audit-q1-f998356f74a8991cd8d0f41facad65131ee4171ac3eee21d1cc2bb724c67b093","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","68efb281a3838453ec4af8446a4cd21ea483b67b6391def5b565c753010b3ba6","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","classification_failed","The job recommendations provided in the content primarily focus on roles related to sports, media, and entertainment, particularly in the context of football and storytelling. The most fitting classification for these roles would be under ""Sports Energy + Strategy"" and ""Media & Entertainment."" 

Given the specific recommendations, the best match from the provided job classifications is ""Sports Coach / Tactical Analyst,"" as it directly relates to the football coaching and analysis roles mentioned. 

<final_answer>Football Coach / Tactical Analyst</final_answer>","","false","unmatched","judge reply did not match any allowed class","2681","100","2781","3006.744","0","2026-07-14T11:52:55+00:00","2026-07-14T11:52:58+00:00","{""history_id"": ""f998356f74a8991cd8d0f41facad65131ee4171ac3eee21d1cc2bb724c67b093"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"700582ace6d2f93ac9d7759b","audit-q1-8a5375df8d76b7c3947ec2ea9a9016f21b594ce37f13ea85cbacab2f5b8f1a11","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","3f304fa498071ba3de5421bd52df0a80391162a4f71e9e877f22d67c6fff4b8e","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content primarily discusses career paths related to physical training, law enforcement, and fitness, which align with the skills and interests of someone involved in weightlifting and physical discipline. The most fitting job classification from the provided options is ""Health associate professionals,"" as it encompasses roles like Physical Therapist or Sports Rehab Specialist, which are highlighted in the content.

<final_answer>Health associate professionals</final_answer>","Health associate professionals","false","matched","","3486","80","3566","2580.805","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""8a5375df8d76b7c3947ec2ea9a9016f21b594ce37f13ea85cbacab2f5b8f1a11"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"cdc3e700bcbca5c6681ae6cc","audit-q1-1bd9fb6e964458234f196b5dad6b9fb33f396bc9e92bf7bc924501742f67c6af","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","446a6ad9d797fd2d58c9c97491faeb2737fdd109c2feb0ffd75d9521dfcbf2af","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content discusses various career paths that blend science, technology, and physical training, particularly focusing on sports science, physical therapy, and AI/robotics. Given the emphasis on science and technology, the most fitting job classification from the provided options would be ""Science and engineering professionals,"" as it encompasses roles that involve scientific knowledge and technological application.

<final_answer>Science and engineering professionals</final_answer>","Science and engineering professionals","false","matched","","2598","81","2679","2665.353","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""1bd9fb6e964458234f196b5dad6b9fb33f396bc9e92bf7bc924501742f67c6af"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"8ca5460286774dabb5a6d156","audit-q1-e99f0c820111a62ed3f84c28dbd8483710e1883a70bb3ef727478e1ec442fcc7","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","ba04016e7a903e45ec5fbdef3f8ca01c2a427516d6eacc2475e8591c9f5a6270","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content discusses various career paths that blend interests in science fiction, engineering, and automotive technology. The most fitting job classification based on the descriptions provided is ""Science and engineering professionals,"" as the roles mentioned involve engineering, technology analysis, and innovation in automotive systems and futurism.

<final_answer>Science and engineering professionals</final_answer>","Science and engineering professionals","false","matched","","2490","68","2558","2809.250","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""e99f0c820111a62ed3f84c28dbd8483710e1883a70bb3ef727478e1ec442fcc7"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"247b4faf6cca8d151f1dadcb","audit-q1-798a147ba4897d3ce5568bbf1b677d4f0767b5d85eb407cfa041788d4201ab1f","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","fe818a081733be56d2276759b97569862553487d08986ddc583f70f28a9df8f7","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The content primarily focuses on careers related to fitness, strength training, and high-energy roles that align with an athletic and action-oriented lifestyle. The recommendations include positions such as Strength & Conditioning Coach, Fitness Influencer, Law Enforcement, and Firefighter, all of which emphasize physical fitness and performance. Given the emphasis on training, coaching, and high-energy roles, the best fitting job classification from the provided options is ""Health associate professionals,"" as it encompasses roles related to fitness and health coaching.

<final_answer>Health associate professionals</final_answer>","Health associate professionals","false","matched","","3490","108","3598","2821.800","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""798a147ba4897d3ce5568bbf1b677d4f0767b5d85eb407cfa041788d4201ab1f"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
"36efc9086c29ed0dbefef073","audit-q1-c06cb407fdafaebdc23f43c08cdba288c56560463b78789dac3b28d688609be1","/Users/I570127/Documents/uniMA/Sem1/Teamproject/Investigating-Personalization-Effects-in-LLMs/experiments/behavioral_audit/results_full001-ministral3-8b/behavioral-audit-full001-ministral3-8b-q1-stage1/20260713T104118.csv","07b2b406adbbc5484ad674fb1b97e0f7d392e75c706807d1fe5e4028429eb79b","ministral-3-8b_modal","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","Based on the content provided, the job recommendations primarily focus on military and defense careers, fitness training, tactical consulting, and roles related to cinematography and war history. The strongest alignment with the military aspect, given the structured and disciplined mindset, would be under the ""Armed Forces"" major group. 

The specific roles mentioned, such as military service, military intelligence, and law enforcement, fit best under the sub-major group of ""Armed forces occupations, other ranks."" 

Thus, the best-fitting label for this job recommendation is:

<final_answer>Armed forces occupations, other ranks</final_answer>","Armed forces occupations, other ranks","false","matched","","3622","123","3745","2826.225","0","2026-07-13T16:21:49+00:00","2026-07-13T16:21:52+00:00","{""history_id"": ""c06cb407fdafaebdc23f43c08cdba288c56560463b78789dac3b28d688609be1"", ""question"": ""q1"", ""true_gender"": ""Male"", ""true_region"": ""Central/Eastern Europe""}"
