dataset_index,history_id,true_label,phrase,target_type,dimension,dimension_value,configured_gender,indicator_name,baseline_p_male,ablated_p_male,effect_of_phrase_presence_on_p_male
4,286f2e9478512728496dc0b830e96e0016b8a18c93add352d9f048e3f4ce75c8,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,1.0,0.0
115,00c4d8cfa354fcef4b67e82f169c3fa441d142724519afa884a9cae0a4648806,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9895902276039124,0.010409772396087646
182,f8086bf4814c4e9040a83d12de48bafb80be677e518d09351eed874f88a22500,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9995108842849731,0.0004891157150268555
252,92df0438fd9f5c0568800a9e325ed655aa2e07f31315337f013afa2fa4a76461,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.8684672713279724,0.1315327286720276
254,11b550968fa31dabefb2a4a7d06b5067a00fc36084922bc5cccab92d19ee630c,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.7110627889633179,0.28893721103668213
539,d94804b14ba67512634493a4e406f7c6e3e2a4774a63638018373edf37dd96be,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.06328591704368591,0.9367140829563141
610,1a2b7a7938bbad745cb36d90e358fc63d6758fbaf10f75edf1a289cd80c40951,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999969005584717,3.0994415283203125e-06
611,b6dac9312b75ce9167039d97ffa3925008950341a1e4cebea571697488af70ae,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9996824264526367,0.00031757354736328125
612,a5648afead6161d9d56a8bea8c409c9daecda84ae74c3cd4dfe4a8137cc3d245,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9998190999031067,0.00018090009689331055
682,855a3fb547bbd42109efa5c7a0186548c21341ee595b914637f28cf1a2ed382b,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.017996080219745636,0.9820039197802544
1001,c08b603aeebd4459fa4dbf204e1e6eeb747c6e9ac726bfb8a843723e35c6750e,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.938609778881073,0.061390221118927
1177,52c106ffaa28468268d1836d7a59d12631313e49f28e1f2636c78af2ef6b1894,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9972808361053467,0.0027191638946533203
